OPD,Day,Clinic,Diagnosis and Condition
1,,Sx.Plastic,Keloid ทั่วร่างกาย
1,,Sx.Plastic,จี้ไฝ/หูด ที่อยู่บริเวณใบหน้าทั้งหมด
1,,Sx.Plastic,ก้อนบริเวณใบหน้าทั้งหมด
1,,Sx.Plastic,ปวดกราม/ขากรรไกร
1,,Sx.Plastic,Clef lip Clef palate
1,Tuesday,,ไฝ/ติ่งเนื้อ/ปานดำ บริเวณใบหน้า
1,Thursday,,ไฝ/ติ่งเนื้อ/ปานดำ บริเวณใบหน้า
1,Tuesday,,หูดบริเวณมือ
1,Thursday,,หูดบริเวณมือ
1,,Sx.Plastic,ก้อนบริเวณใบหน้าทั้งหมดตัดที่แนวผม
1,,Sx.Plastic,ก้อนบริเวณใบหู
1,,Sx.Plastic,ก้อนบริเวณมือตัดที่ข้อมือ* สัปดาห์ที่สาย HAND เป็น Plastic *
1,,Sx.Plastic,สาย HAND : มือและข้อมือ
2,,Uro.Ped,Hypospadias
2,,Uro.Ped,Epispadias
2,,Uro.Ped,Phimosis
2,,Uro.Ped,Undescended Testis
2,,Uro.Ped,Circumcision
2,,Neuro.Sx,embolization
2,,Neuro.Sx,Brain tumor / ก้อนต่างๆในสมอง
2,,Neuro.Sx,Trauma > 24 ชม. ที่มีประวัติศีรษะกระแทก
2,,Neuro.Sx,Epilepsy refer for Sx.
2,,Uro.Sx.,เปลี่ยนสาย Foley's cath อย่างเดียว (เคสเดิม)
2,,Uro.Sx.,เคสใหม่ : Retained foley's cath จากห้องไหนให้ส่งกลับห้องเดิมเพื่อพิจารณา
2,,Uro.Sx.,นิ่วทางเดินปัสสาวะ : รับเฉพาะ มีประวัติการรักษา / บันทึกข้อความ / ผลยืนยันว่าเป็นนิวทางเดินปัสสาวะจริง
2,,Uro.Sx.,ปัสสาวะแสบขัด
2,,Uro.Sx.,ปัสสาวะปนเลือด
2,,Uro.Sx.,BPH
2,,Uro.Sx.,CA
2,Wednesday,,หูดบริเวณอวัยวะเพศชาย
2,Thursday,,หูดบริเวณอวัยวะเพศชาย
2,Wednesday,,Gonorrhea : ชาย
2,Thursday,,Gonorrhea : ชาย
3,Monday,,หูดบริเวณอวัยวะเพศหญิง
