OPD,Day,Clinic,Time,Age Group,Tel,หมายเหตุ,,,,
1,Monday,ผ่าตัดกระเพาะ,,≥15,"36335 , 35735",,,,,
1,Monday,CVT,,≥15,"36335 , 35735",,,,,
1,Monday,Sx.Ped,,<15,"36335 , 35735",,,,,
1,Tuesday,Sx.Plastic,,≥15,"36335 , 35735",,,,,
1,Tuesday,Sx.Plastic,,<15,"36335 , 35735",,,,,
1,Wednesday,Sx.Ped,,<15,"36335 , 35735",,,,,
1,Wednesday,ผ่าตัดกระเพาะ,,≥15,"36335 , 35735",,,,,
1,Thursday,Sx.plastic,,≥15,"36335 , 35735",,,,,
1,Thursday,Sx.plastic,,<15,"36335 , 35735",,,,,
1,Friday,CVT,,≥15,"36335 , 35735",,,,,
2,Monday,Uro.Ped,,<15,"35736 , 35739",,,,,
2,Monday,Neuro.Sx,,≥15,"35736 , 35739",,,,,
2,Tuesday,Neuro.Sx,,≥15,"35736 , 35739",,,,,
2,Wednesday,Uro.Sx.,,≥15,"35736 , 35739",,,,,
2,Wednesday,Uro.Ped,,<15,"35736 , 35739",,,,,
2,Thursday,Uro.Sx.,,≥15,"35736 , 35739",,,,,
2,Friday,Neuro.Sx,,≥15,"35736 , 35739",,,,,
3,Monday,Gyne,,≥15,"35741 , 36341",,,,,
3,Tuesday,Onco Gyne,,≥15,"35741 , 36341",,,,,
3,Wednesday,Gyne,,≥15,"35741 , 36341",,,,,
3,Thursday,Onco Gyne,,≥15,"35741 , 36341",,,,,
3,Friday,Gyne,,≥15,"35741 , 36341",,,,,
4,Monday,ANC,,≥15,"35742 , 35720",,,,,
4,Tuesday,ANC,,≥15,"35742 , 35720",,,,,
4,Wednesday,ANC,,≥15,"35742 , 35720",,,,,
4,Thursday,ANC,,≥15,"35742 , 35720",,,,,
4,Friday,ANC,,≥15,"35742 , 35720",,,,,
5,Monday,ตรวจหลังคลอด,,≥15,35743,,,,,
5,Monday,คุมกำเนิด,,≥15,35744,,,,,
5,Tuesday,Uro Gyne,,≥15,35745,,,,,
5,Tuesday,วางแผนครอบครัว,,≥15,35746,,,,,
5,Tuesday,คุมกำเนิด,,≥15,35747,,,,,
5,Wednesday,วัยทอง,,≥15,35747,,,,,
5,Wednesday,คุมกำเนิด,,≥15,35747,,,,,
5,Thursday,Uro Gyne,,≥15,35745,,,,,
5,Thursday,CMU Pride,,≥15,35745,,,,,
5,Thursday,วางแผนครอบครัว,,≥15,35746,,,,,
5,Thursday,คุมกำเนิด,,≥15,35747,,,,,
5,Friday,วัยทอง,,≥15,35747,,,,,
5,Friday,คุมกำเนิด,,≥15,35747,,,,,
6,Monday,ภูมิแพ้,,≥15,"35745 , 36692",,,,,
6,Monday,ภูมิแพ้,,<15,"35745 , 36692",,,,,
6,Monday,ENT Ped,,<15,"35745 , 36692",,,,,
6,Monday,นอนกรน OSA,,≥15,"35745 , 36692",,,,,
6,Monday,นอนกรน OSA,,<15,"35745 , 36692",,,,,
6,Tuesday,ENT Tumor,,≥15,"35745 , 36692",,,,,
6,Wednesday,Sinus,,≥15,"35746 , 36692",,,,,
6,Wednesday,Sinus,,<15,"35745 , 36692",,,,,
6,Thursday,โสตประสาทหู,,<15,"35745 , 36692",,,,,
6,Thursday,เครื่องช่วยฟัง,,<15,"35745 , 36692",,,,,
6,Thursday,ABR,,<15,"35745 , 36692",,,,,
6,Thursday,โสตประสาทหู,,≥15,"35745 , 36692",,,,,
6,Thursday,เครื่องช่วยฟัง,,≥15,"35745 , 36692",,,,,
6,Thursday,ABR,,≥15,"35745 , 36692",,,,,
6,Friday,นอนกรน OSA,,≥15,"35745 , 36692",,,,,
6,Friday,นอนกรน OSA,,<15,"35745 , 36692",,,,,
6,Friday,เครื่องช่วยฟัง,,<15,"35745 , 36692",,,,,
6,Friday,ABR,,<15,"35745 , 36692",,,,,
6,Friday,เครื่องช่วยฟัง,,≥15,"35745 , 36692",,,,,
6,Friday,ABR,,≥15,"35745 , 36692",,,,,
7,Monday,ตาเข,,<15,"35748 , 36680",,,,,
7,Monday,ตาเด็ก,,<15,"35748 , 36680",,,,,
7,Monday,ต้อหิน,,≥15,"35748 , 36680",,,,,
7,Monday,ตาเข,,≥15,"35748 , 36680",,,,,
7,Tuesday,ตาเข,,≥15,"35748 , 36680",,,,,
7,Tuesday,ต้อหิน,,≥15,"35748 , 36680",,,,,
7,Wednesday,จอรับภาพ,,≥15,"35748 , 36680",,,,,
7,Wednesday,ต้อหิน,,≥15,"35748 , 36680",,,,,
7,Wednesday,ตาเด็ก,,<15,"35748 , 36680",,,,,
7,Thursday,Eye ID,,≥15,"35748 , 36680",,,,,
7,Friday,ต้อหิน,,≥15,"35748 , 36680",,,,,
 Retina,Monday,จอประสาทตา,,≥15,"35903 , 35910",,,,,
 Retina,Tuesday,จอประสาทตา,,≥15,"35903 , 35910",,,,,
 Retina,Wednesday,จอประสาทตา,,≥15,"35903 , 35910",,,,,
 Retina,Thursday,จอประสาทตา,,≥15,"35903 , 35910",,,,,
 Retina,Friday,จอประสาทตา,,≥15,"35903 , 35910",,,,,
9,Monday,Neuro.Med,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Monday,ID,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Monday,Skin,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Monday,Hemato,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Monday,Cardio,13.00-16.00,≥15,"35740 , 35751",,,,,
9,Tuesday,Cardio,8.00-16.00,≥15,"35740 , 35751",,,,,
9,Tuesday,Endocine,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Tuesday,Onco,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Tuesday,Nephro,13.00-16.00,≥15,"35740 , 35751",,,,,
9,Wednesday,GI,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Wednesday,ID,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Wednesday,Skin,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Wednesday,Rheumato,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Wednesday,Chest,13.00-16.00,≥15,"35740 , 35751",,,,,
9,Wednesday,Neuro.Med,13.00-16.00,≥15,"35740 , 35751",,,,,
9,Thursday,GI,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Thursday,Endocine,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Thursday,Nephro,13.00-16.00,≥15,"35740 , 35751",,,,,
9,Friday,Chest,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Friday,Hemato,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Friday,Rheumato,8.00-12.00,≥15,"35740 , 35751",,,,,
9,Friday,Cardio,13.00-16.00,≥15,"35740 , 35751",,,,,
9,Friday,Onco,13.00-16.00,≥15,"35740 , 35751",,,,,
10,Monday,Ortho Ped,,<15,"35750 , 35760",,,,,
10,Monday,Ortho General,13.00-16.00,≥15,"35750 , 35760",,,,,
10,Tuesday,Spine,,≥15,"35750 , 35760",,,,,
10,Tuesday,Hand,,≥15,"35750 , 35760",,,,,
10,Tuesday,Adult,,≥15,"35750 , 35760",,,,,
10,Wednesday,Trauma,,≥15,"35750 , 35760",,,,,
10,Wednesday,Ortho Tumor,,≥15,"35750 , 35760",,,,,
10,Wednesday,Adult,,≥15,"35750 , 35760",,,,,
10,Thursday,Foot,,≥15,"35750 , 35760",,,,,
10,Thursday,Ankle,,≥15,"35750 , 35760",,,,,
10,Thursday,Trauma,,≥15,"35750 , 35760",,,,,
10,Thursday,Foot,,<15,"35750 , 35760",,,,,
10,Thursday,Ankle,,<15,"35750 , 35760",,,,,
10,Friday,Spine,,≥15,"35750 , 35760",,,,,
10,Friday,Adult,,≥15,"35750 , 35760",,,,,
20,Monday,กายภาพฟื้นฟู,,≥15,"34436 , 34415 , 36366",,,,,
20,Tuesday,กายภาพฟื้นฟู,,≥15,"34436 , 34415 , 36366",,,,,
20,Wednesday,กายภาพฟื้นฟู,,≥15,"34436 , 34415 , 36366",,,,,
20,Thursday,กายภาพฟื้นฟู,,≥15,"34436 , 34415 , 36366",,,,,
20,Friday,กายภาพฟื้นฟู,,≥15,"34436 , 34415 , 36366",,,,,
21,Monday,DM,,≥15,"35752 , 36752",,,,,
21,Monday,Endocine.Med,,≥15,"35752 , 36752",,,,,
21,Tuesday,Neuro.Med,,≥15,"35752 , 36752",,,,,
